DATAFLOW,LAST UPDATE,freq,incsrc,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,1995,5958,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,1996,5074,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,1997,5418,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,1998,7575,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,1999,9486,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,2000,8289,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EL,2001,7583,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,1995,7889,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,1996,6642,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,1997,7207,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,1998,7337,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,1999,5795,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,2000,6076,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,ES,2001,13567,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,1995,8808,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,1996,11376,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,1997,10274,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,1998,10728,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,1999,10675,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,2000,11163,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EU15,2001,12383,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,FI,1996,15575,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,FI,1997,17955,u
